Fetch Date,Date,Time,Location,Temperature,Air Pressure,Weather Description,Precipitation
2023-05-02,2023-05-02,18:00:00,Stockholm,9.05,1014,clear sky,0.0
2023-05-02,2023-05-02,21:00:00,Stockholm,7.35,1015,scattered clouds,0.0
2023-05-02,2023-05-03,00:00:00,Stockholm,4.82,1017,broken clouds,0.0
2023-05-02,2023-05-03,03:00:00,Stockholm,1.77,1020,overcast clouds,0.0
2023-05-02,2023-05-03,06:00:00,Stockholm,5.96,1021,overcast clouds,0.0
2023-05-02,2023-05-03,09:00:00,Stockholm,9.51,1023,clear sky,0.0
2023-05-02,2023-05-03,12:00:00,Stockholm,10.7,1023,scattered clouds,0.0
2023-05-02,2023-05-03,15:00:00,Stockholm,9.81,1024,overcast clouds,0.0
2023-05-02,2023-05-03,18:00:00,Stockholm,4.53,1027,overcast clouds,0.0
2023-05-02,2023-05-03,21:00:00,Stockholm,1.5,1028,overcast clouds,0.0
2023-05-02,2023-05-04,00:00:00,Stockholm,0.86,1029,overcast clouds,0.0
2023-05-02,2023-05-04,03:00:00,Stockholm,-1.36,1029,broken clouds,0.0
2023-05-02,2023-05-04,06:00:00,Stockholm,3.36,1030,scattered clouds,0.0
2023-05-02,2023-05-04,09:00:00,Stockholm,6.66,1029,scattered clouds,0.12
2023-05-02,2023-05-04,12:00:00,Stockholm,6.7,1030,broken clouds,0.08
2023-05-02,2023-05-04,15:00:00,Stockholm,5.37,1030,light rain,0.28
2023-05-02,2023-05-04,18:00:00,Stockholm,2.91,1031,broken clouds,0.0
2023-05-02,2023-05-04,21:00:00,Stockholm,-1.16,1033,scattered clouds,0.0
2023-05-02,2023-05-05,00:00:00,Stockholm,-2.01,1033,scattered clouds,0.0
2023-05-02,2023-05-05,03:00:00,Stockholm,-2.04,1034,clear sky,0.0
2023-05-02,2023-05-05,06:00:00,Stockholm,3.11,1035,clear sky,0.0
2023-05-02,2023-05-05,09:00:00,Stockholm,6.84,1034,scattered clouds,0.0
2023-05-02,2023-05-05,12:00:00,Stockholm,7.29,1034,broken clouds,0.0
2023-05-02,2023-05-05,15:00:00,Stockholm,5.29,1034,broken clouds,0.0
2023-05-02,2023-05-05,18:00:00,Stockholm,2.28,1034,broken clouds,0.0
2023-05-02,2023-05-05,21:00:00,Stockholm,-1.29,1035,clear sky,0.0
2023-05-02,2023-05-06,00:00:00,Stockholm,-2.04,1035,clear sky,0.0
2023-05-02,2023-05-06,03:00:00,Stockholm,-2.12,1035,clear sky,0.0
2023-05-02,2023-05-06,06:00:00,Stockholm,3.54,1035,scattered clouds,0.0
2023-05-02,2023-05-06,09:00:00,Stockholm,6.77,1034,overcast clouds,0.0
2023-05-02,2023-05-06,12:00:00,Stockholm,8.71,1033,overcast clouds,0.0
2023-05-02,2023-05-06,15:00:00,Stockholm,8.3,1032,overcast clouds,0.0
2023-05-02,2023-05-06,18:00:00,Stockholm,4.55,1032,overcast clouds,0.0
2023-05-02,2023-05-06,21:00:00,Stockholm,1.28,1032,overcast clouds,0.0
2023-05-02,2023-05-07,00:00:00,Stockholm,0.67,1032,overcast clouds,0.0
2023-05-02,2023-05-07,03:00:00,Stockholm,0.16,1032,overcast clouds,0.0
2023-05-02,2023-05-07,06:00:00,Stockholm,4.76,1031,broken clouds,0.0
2023-05-02,2023-05-07,09:00:00,Stockholm,8.97,1030,scattered clouds,0.0
2023-05-02,2023-05-07,12:00:00,Stockholm,11.76,1029,scattered clouds,0.0
2023-05-02,2023-05-07,15:00:00,Stockholm,11.86,1028,few clouds,0.0
